Title,Price,Subscribers,Reviews,% of Subscribers who Left Reviews,Length (Hrs)
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,43285,525,1.212891301836664,4
Learning Dynamic Website Design - PHP MySQL and JavaScript,50,47886,285,0.5951635133441925,12.5
ChatBots: Messenger ChatBot with API.AI and Node.JS,50,2577,529,20.527745440434614,4.5
Projects in HTML5,60,8777,206,2.3470434089096504,15.5
Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,20,23764,490,2.061942433933681,5.5
How To Make A Wordpress Website 2017 | Divi Theme Tutorial,40,3541,202,5.70460321942954,4
Build Your Own Backend REST API using Django REST Framework,50,2669,112,4.196328212813788,5.5
Angular and Firebase - Build a Web App with Typescript,150,1966,359,18.260427263479144,5
Web Development Masterclass - Complete Certificate Course,200,4090,178,4.352078239608802,19.5
Spring Boot Tutorial For Beginners,40,2578,210,8.145849495733126,5.5
The Complete Bootstrap Masterclass Course - Build 4 Projects,195,24978,540,2.1619024741772757,7
Scaling Docker on AWS,25,3133,351,11.20331950207469,6
Learn JavaScript for beginners,200,15276,167,1.0932181199266824,1.5
HTML Tutorial: HTML & CSS for Beginners,20,12458,253,2.0308235671857444,4
Learn by Doing: Vue JS 2.0 the Right Way,95,1087,220,20.239190432382706,3.5
Learn Complete Web Development From Scratch,40,14074,106,0.753161858746625,12
Introduction to Web Development: HTML,20,26800,333,1.2425373134328357,3
Web Site for Beginners - Learn Web Building like knitting,20,9425,147,1.5596816976127321,1.5
How To Make A Wordpress Website 2017 - Divi Theme Tutorial,40,2780,94,3.381294964028777,3
Web Programming with Python,50,35267,217,0.6153060935151842,4
PHP Login and Registration System - Email Confirm Activation,100,2607,317,12.159570387418489,5
PSD to Responsive HTML5: Beginner to Advanced,40,1502,218,14.513981358189081,6
Ultimate Web Developer Course Build 10 Websites from Scratch,200,9359,110,1.1753392456459022,32.5
Rapid Website Design with Bootstrap,200,14842,131,0.8826303732650587,1
Build Enterprise Applications with Angular 2 (and Angular 4),190,6082,848,13.94278197961197,9.5
Angular 4 (2+) Crash Course for Beginners,120,12366,506,4.091864790554746,9
Accelerated JavaScript Training,110,4720,1017,21.546610169491526,7.5
"Beginner API development in Node, Express, ES6, & MongoDB",165,7057,655,9.281564404137736,18.5
React JS and Redux - Mastering Web Apps,60,16829,820,4.872541446312912,5
Web Development w/ Google’s Go (golang) Programming Language,65,4872,662,13.587848932676518,19
Git a Web Developer Job: Mastering the Modern Workflow,200,5809,1445,24.87519366500258,15
The Complete WordPress Website Business Course,150,13439,1981,14.740680110127242,20.5
The Complete HTML and CSS Course For Beginners,85,733,104,14.188267394270124,3
Learn  Bootstrap Development By Building 10 Projects,60,14813,1358,9.167623033821643,13.5
Advanced Javascript,200,6601,1304,19.75458263899409,3.5
Dissecting Ruby on Rails 5 - Become a Professional Developer,195,2804,418,14.907275320970042,37.5
The Complete Wordpress Course - Build Your Own Website Today,195,9421,73,0.7748646640484025,3.5
JQuery Essentials core training for Dynamic Interactive web,100,9668,38,0.39304923458833263,4
Node.js: The Essentials + API Frameworks Express KOA Sails,20,2760,52,1.884057971014493,1
The Complete PHP Bootcamp Course With Video Sharing Project,195,9831,56,0.5696266910792391,14.5
Build a Single Page Application with jQuery & AJAX,60,486,59,12.139917695473251,2
Practical CSS Website Development: Crash Course ,95,11170,35,0.3133393017009848,2.5
Successful website creation - everything you need to know,150,9384,21,0.2237851662404092,1.5
Start Writing JavaScript Today - Beginner JavaScript Course,100,9067,41,0.45218925774787694,3
HTML5 Essentials for Beginners,20,10247,200,1.9517907680296671,1.5
Code a personal splash page in 1 hour,20,10610,83,0.7822808671065032,1
Step-by-step HTML and CSS for Absolute Beginners,120,6162,324,5.258033106134373,4
Angular 4 Development Decoded,20,1802,13,0.7214206437291898,1
Javascript ES6! A Complete Reference Guide to Javascript ES6,175,4783,41,0.857202592515158,7
Reactive JS:  Are you ready for the next big paradigm shift?,60,2097,401,19.122556032427276,5.5
Learn Python and Django: Payment Processing,70,17714,198,1.117759963870385,3.5
Code your first Website using HTML & CSS: Project Learning,20,9554,368,3.8517898262507853,1.5
"React.js: Building Production Ready Apps, Start to Finish",50,1129,137,12.134632418069087,17.5
Learn Object Oriented Programming PHP fundamentals bootcamp,100,22213,142,0.6392652950974654,1
Javascript Intermediate level 2 - Mastering Functions,100,2412,116,4.809286898839138,2.5
1 Hour CSS,100,18324,333,1.8172888015717092,1
"Become a Full Stack Developer with Spring, AWS and Stripe",75,1696,193,11.379716981132075,10
